ID,myCity,usage,scale,category,area,perimeter,rentPriceabs,rentPriceNorm,vacant,diversityNorm,max_height,nbFloors,FAR,type,supported_people,neighbourhood,dorm,luxury,location.x,location.y
454,city(0),R,S,R,133.30272785762,49.28266080317396,1457.540589878156,0.8704037118484352,4,0.463899554207236,35.0,3,0.75,BLDG,24,Wellington-Harrington,0,0,201.6076403823571,497.24582085925226
455,city(0),R,S,R,187.36955986738687,57.14395413651329,1460.6936042948778,0.8747256786835259,6,0.0,35.0,3,0.75,BLDG,36,Wellington-Harrington,0,0,252.0341721273102,496.85912643289305
456,city(0),R,M,R,99.17206523596401,42.73688028528478,1466.3276124431695,0.88244844589842,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,400.2959636417005,493.8710386868084
457,city(0),R,M,R,166.83316636730578,55.70751288780806,1461.0062815931096,0.8751542783454485,9,0.0,35.0,3,0.75,BLDG,9,Wellington-Harrington,0,0,266.6667510941183,492.4180954483208
458,city(0),R,M,R,130.7850049016698,51.742400488950146,1462.7188800869528,0.8775018076979821,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,329.39398710891214,491.73823196669156
459,city(0),R,S,R,63.191306795179095,36.24252082134221,1468.7096208344735,0.8857135629919305,2,0.0,35.0,3,0.75,BLDG,12,Wellington-Harrington,0,0,483.2598773298156,489.60914967511405
460,city(0),R,M,R,116.98571337439887,49.80248381625332,1469.9977608684105,0.8874792696363729,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,509.9877992400208,489.45940155407266
461,city(0),R,M,R,168.37633774770256,55.297797295885594,1461.3970910005962,0.8756899769103014,9,0.0,35.0,3,0.75,BLDG,9,Wellington-Harrington,0,0,282.15204984503356,488.52402920303706
462,city(0),R,M,R,216.2225854193985,60.01628656220072,1468.6362149086067,0.8856129424633934,9,0.0,35.0,3,0.75,BLDG,9,Wellington-Harrington,0,0,468.02117143714196,492.5580896755642
463,city(0),R,S,R,177.32242996539148,65.36009821794818,1464.9932938717882,0.8806194404291232,3,0.7352633975197302,35.0,3,0.75,BLDG,33,Wellington-Harrington,0,0,389.7212716935133,486.99487420831434
464,city(0),R,S,R,191.20140014208565,68.1115577382247,1467.6350519496973,0.8842406071255087,6,0.0,35.0,3,0.75,BLDG,36,Wellington-Harrington,0,0,454.6312473658574,488.2109667752352
465,city(0),R,M,R,112.12381587425118,49.222552655014496,1468.932942650456,0.8860196794109071,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,512.8609962570649,480.7733195566317
466,city(0),R,M,R,141.00115887601413,52.51544713184499,1456.912259492425,0.869542433487573,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,218.21667232655602,483.07770357989676
467,city(0),R,S,R,118.92207411456134,48.44841686979626,1466.6816949998204,0.8829338014548719,1,0.463899554207236,35.0,3,0.75,BLDG,21,Wellington-Harrington,0,0,445.17103661178913,483.3706672568514
468,city(0),R,M,R,209.9454122495045,61.22034468476973,1459.901815486734,0.8736403411249519,9,0.0,35.0,3,0.75,BLDG,9,Wellington-Harrington,0,0,297.70067348587105,483.0390296102142
469,city(0),R,M,R,148.60921189051936,51.429015170961215,1461.0439969202312,0.8752059762990415,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,324.0002684334421,480.7225793658259
470,city(0),R,M,R,175.98764800170264,65.875559613501,1463.6250786398846,0.8787439714099547,9,0.0,35.0,3,0.75,BLDG,9,Wellington-Harrington,0,0,375.7802225728083,481.1345375206058
471,city(0),R,L,R,112.56258133090954,45.479643178747935,1457.3999969115794,0.8702109952736018,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,228.2521897290929,481.8714733291495
472,city(0),R,S,R,69.50542925578605,33.56225523823241,1471.2564120442971,0.8892045546874909,2,0.0,35.0,3,0.75,BLDG,12,Wellington-Harrington,0,0,588.191719268304,474.7470468931676
473,city(0),R,S,R,65.25795115386146,32.40293639207874,1471.6525140184374,0.889747507991627,2,0.0,35.0,3,0.75,BLDG,12,Wellington-Harrington,0,0,601.2575677561991,474.97908630350224
474,city(0),R,S,R,59.78750017226887,31.13475072019288,1471.2718076138776,0.8892256580293536,9,0.0,35.0,3,0.75,BLDG,9,Wellington-Harrington,0,0,594.8467204778337,473.48725218098775
475,city(0),R,S,R,82.65524924908023,39.18251298858164,1472.4232818366463,0.8908040312127665,5,0.0,35.0,3,0.75,BLDG,15,Wellington-Harrington,0,0,636.974996548225,474.45365641148487
476,city(0),R,S,R,67.85354352606637,33.12954302169711,1472.769241802666,0.8912782527994098,2,0.0,35.0,3,0.75,BLDG,12,Wellington-Harrington,0,0,643.7440553867762,475.9730217638918
477,city(0),R,M,R,112.87732425981989,49.32809076767734,1457.5214972979884,0.870377540861762,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,241.467815263518,476.23985846302276
478,city(0),R,M,R,140.23584293398332,50.01668972151202,1465.2033956909427,0.8809074356534907,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,429.2411657069367,476.4036915516834
479,city(0),R,S,R,70.52220984452218,33.806350878333234,1472.1558828413026,0.8904374963870827,2,0.0,35.0,3,0.75,BLDG,12,Wellington-Harrington,0,0,622.8452186771474,474.7387424279863
480,city(0),R,M,R,63.174301471580364,31.846136510312718,1472.236501916547,0.8905480042768132,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,616.0872160468933,476.4710079369736
481,city(0),R,L,R,111.31242507227171,46.68373397257295,1462.1533616547026,0.876726628271001,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,358.3915106638023,475.92586692559235
482,city(0),R,L,R,80.67943500706942,39.584097181165724,1467.113690421328,0.8835259553869204,0,0.0,35.0,3,0.75,BLDG,0,Wellington-Harrington,0,0,487.61600523879804,476.5280644837575
483,city(0),R,M,R,200.934797343903,59.72039856630544,1457.9844109008009,0.8710120756194394,9,0.0,35.0,3,0.75,BLDG,9,Wellington-Harrington,0,0,256.8407954101206,472.6077939337956
484,city(0),R,M,R,119.67565483680904,44.80950272349814,1461.0019498647143,0.8751483406667737,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,349.6597254649113,470.1986937653979
485,city(0),R,M,R,94.43136729098734,39.24371319646336,1463.761252191871,0.8789306301110318,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,408.85683675821053,471.3262158187364
486,city(0),R,M,R,85.15866721937613,39.17198883119091,1464.2925643537446,0.879658921593151,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,434.2948928697683,468.0161584663194
487,city(0),R,M,R,111.12182866178577,46.22523661931977,1465.645235241673,0.8815130833392609,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,479.47133174964284,467.1504157649608
488,city(0),R,M,R,210.8724504487087,61.265288427387304,1458.2885921744862,0.8714290294302914,9,0.0,35.0,3,0.75,BLDG,9,Wellington-Harrington,0,0,273.57416099699753,467.4053500102038
489,city(0),R,M,R,71.0412985667127,33.917960092705464,1468.807794294058,0.885848133399906,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,553.3102428519046,464.98935927036985
490,city(0),R,M,R,70.2649534115786,33.7414772892251,1470.5408302142957,0.8882236771752736,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,573.9278092210773,472.6737039432295
491,city(0),R,M,R,66.41941730785439,32.950483651629824,1470.3298347473672,0.887934456991064,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,566.5927724284859,472.84652126260835
492,city(0),R,M,R,65.87881701636373,32.82294204101366,1469.5880370113887,0.8869176442558473,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,559.0668026252977,469.25424647597697
493,city(0),R,S,R,97.94409519128094,43.63184251727032,1462.2832342824856,0.8769046500355344,8,0.0,35.0,3,0.75,BLDG,18,Wellington-Harrington,0,0,399.31953440168763,462.91086037906075
494,city(0),R,S,R,135.77113968902708,47.80440639812254,1459.6055851352023,0.8732342859708502,7,0.0,35.0,3,0.75,BLDG,27,Wellington-Harrington,0,0,335.5546612450619,464.7199034219376
495,city(0),R,S,R,53.7210572217126,31.30477986686899,1452.7220932654218,0.8637987999124835,9,0.0,35.0,3,0.75,BLDG,9,Wellington-Harrington,0,0,194.64682076116236,461.250862041067
496,city(0),R,S,R,195.88867796409215,59.48570661771463,1458.954574769436,0.8723419192264356,9,0.42599702804823963,35.0,3,0.75,BLDG,39,Wellington-Harrington,0,0,291.8355115195228,464.8150079407889
497,city(0),R,M,R,109.57003612677572,46.871564144033144,1467.0910101027116,0.8834948665392609,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,518.5112875207149,461.94188956775207
498,city(0),R,S,R,139.4961173548243,51.87717312251721,1464.566886361952,0.8800349460779486,7,0.463899554207236,35.0,3,0.75,BLDG,27,Wellington-Harrington,0,0,467.83254192081284,461.6066026078563
499,city(0),R,S,R,141.6251845094916,65.47369093001399,1463.7144750069274,0.8788665106953724,7,0.463899554207236,35.0,3,0.75,BLDG,27,Wellington-Harrington,0,0,442.8634373360509,461.3027508884832
500,city(0),R,M,R,125.7892163397555,45.76428902539229,1458.5220690663546,0.8717490658303991,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,322.8121141694041,461.32869820580834
501,city(0),R,M,R,114.37128084958725,43.17969615309793,1462.586647264702,0.8773205507175993,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,413.75905564690737,460.8208419682606
502,city(0),R,M,R,107.35468316057315,41.66597361003205,1449.7134434618185,0.8596747196036169,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,160.77640744335963,455.458349538755
503,city(0),R,M,R,78.20389546129431,39.914244447962666,1460.7673430989437,0.8748267555019325,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,400.3811866328858,450.927382719062
504,city(0),R,M,R,112.38618204135712,44.8091972020124,1459.6078194578104,0.8732373486489526,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,371.9560728518731,451.30012012093516
505,city(0),R,L,R,99.54392571978859,44.59328591439614,1464.07766583691,0.879364351337543,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,497.96511014596047,451.47660220425564
506,city(0),R,M,R,111.82178574336164,53.590726135451945,1452.9112654269927,0.8640581059924354,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,211.4598275310155,453.88089876108967
507,city(0),R,M,R,117.97452104203234,51.568861594331416,1452.6971286928397,0.8637645799437514,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,203.01237082549758,456.55634655025426
508,city(0),R,M,R,120.351038002678,43.747133491221085,1462.3124168341176,0.8769446517620244,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,442.5321603872479,450.717608243247
509,city(0),R,M,R,109.38619287536747,48.104590026507104,1460.123292560353,0.8739439288795268,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,390.19347017987315,449.19925463111605
510,city(0),R,M,R,117.21656453992199,49.49780719625806,1466.6035650059755,0.882826705451621,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,522.9907769724583,457.03663865721876
511,city(0),R,M,R,114.77208375145158,49.09723315037397,1465.8266481833916,0.8817617535367095,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,527.7018087929404,449.9815835317451
512,city(0),R,M,R,62.777028518104835,37.07101876616056,1463.7068969198626,0.8788561230990476,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,490.6073636206808,450.147499881382
513,city(0),R,S,R,122.73982931974211,47.73082412811767,1453.2246617695243,0.8644876912780202,4,0.0,35.0,3,0.75,BLDG,24,Wellington-Harrington,0,0,223.32735777755215,450.387276475575
514,city(0),R,M,R,114.56725437874685,48.354720051282975,1460.8693683744607,0.8749666057527866,6,0.0,35.0,3,0.75,BLDG,6,Wellington-Harrington,0,0,413.6111077553409,447.7173165248914
515,city(0),R,S,R,108.89666794070178,44.43122056444609,1453.5642627648742,0.8649531963614356,1,0.463899554207236,35.0,3,0.75,BLDG,21,Wellington-Harrington,0,0,234.20850099245175,447.7694888435243
516,city(0),R,M,R,100.44033369740049,42.49296009407566,1458.849165249819,0.8721974300526876,3,0.0,35.0,3,0.75,BLDG,3,Wellington-Harrington,0,0,362.13467208296805,448.8674154540394
